x,y
-15.0,-1.2293027865813926
-14.9,-0.7824914318806677
-14.8,-0.650953051583493
-14.700000000000001,-0.594600937973905
-14.600000000000001,-0.7057804111715706
-14.500000000000002,-1.0269072860440396
-14.400000000000002,-0.8060097972612599
-14.300000000000002,-0.9721357126319244
-14.200000000000003,-1.0936439340152966
-14.100000000000003,-1.0542641607911534
-14.000000000000004,-1.177258186947892
-13.900000000000004,-1.2109246663097544
-13.800000000000004,-0.9405057654679929
-13.700000000000005,-0.9981455409363994
-13.600000000000005,-0.9659870800535336
-13.500000000000005,-0.8075208049887237
-13.400000000000006,-0.7520163746736388
-13.300000000000006,-0.9225380418407201
-13.200000000000006,-1.1232632139133554
-13.100000000000007,-0.8155398204720328
-13.000000000000007,-1.0457458776275108
-12.900000000000007,-1.148037547214821
-12.800000000000008,-1.3013321041846289
-12.700000000000008,-0.9579323658673045
-12.600000000000009,-1.338172280962757
-12.500000000000009,-0.956384360556842
-12.40000000000001,-0.9038883580819733
-12.30000000000001,-0.8850429471736261
-12.20000000000001,-0.7728990300030248
-12.10000000000001,-1.041286626481806
-12.00000000000001,-1.0941095833030041
-11.900000000000011,-0.8512671725716447
-11.800000000000011,-1.2099407323761437
-11.700000000000012,-1.1074982437682004
-11.600000000000012,-1.1366295468502943
-11.500000000000012,-1.233922036658701
-11.400000000000013,-1.2533393992868935
-11.300000000000013,-0.937585291184797
-11.200000000000014,-0.486572774890896
-11.100000000000014,-0.9980332533150313
-11.000000000000014,-0.9565020140098199
-10.900000000000015,-1.000477496338585
-10.800000000000015,-0.9075128634938452
-10.700000000000015,-0.9664024630795889
-10.600000000000016,-1.1764357544708754
-10.500000000000016,-1.0194974906531067
-10.400000000000016,-1.1004056383635445
-10.300000000000017,-1.0855664462394232
-10.200000000000017,-0.8911940228465858
-10.100000000000017,-0.8797015526433875
-10.000000000000018,-0.6892889554752673
-9.900000000000018,-1.048581727104864
-9.800000000000018,-0.9499171375767782
-9.700000000000019,-1.0119547549342425
-9.60000000000002,-1.0232687357348471
-9.50000000000002,-1.0790971492392543
-9.40000000000002,-1.0272613922106
