dataset,algorithm,trial,best_params,train_mse,train_mae,train_r2,test_mse,test_mae,test_r2,runtime
1027_ESL,adaboost,0,"[('learning_rate', 0.1), ('n_estimators', 1000)]",0.25871817149099996,0.408285899915,0.828301848309,0.392492443184,0.470931253143,0.756046017039,16.010457515716553
1027_ESL,adaboost,1,"[('learning_rate', 0.1), ('n_estimators', 100)]",0.268454104918,0.409285256192,0.8318089782170001,0.379456105603,0.451593659712,0.703801648707,17.995113611221313
1027_ESL,adaboost,2,"[('learning_rate', 0.01), ('n_estimators', 1000)]",0.251952829981,0.383733470967,0.841151700713,0.46585987475199997,0.5185499006600001,0.687073487738,18.23197078704834
1027_ESL,adaboost,3,"[('learning_rate', 0.1), ('n_estimators', 1000)]",0.250562076831,0.42253223100599996,0.8701999763189999,0.459417689335,0.501842536189,0.725217486086,16.656814098358154
1027_ESL,adaboost,4,"[('learning_rate', 0.1), ('n_estimators', 1000)]",0.264770964694,0.409835547019,0.861560337772,0.39991243671599996,0.476118713709,0.7485995329699999,18.78213620185852
1027_ESL,adaboost,5,"[('learning_rate', 1.0), ('n_estimators', 1000)]",0.268679855018,0.42038565286300006,0.8262207938230001,0.368294952166,0.45420200733000005,0.774870267144,16.174139499664307
1027_ESL,adaboost,6,"[('learning_rate', 0.1), ('n_estimators', 1000)]",0.254816569775,0.402278088684,0.836731325602,0.433063736854,0.47819382119,0.7169698917309999,16.43972373008728
1027_ESL,adaboost,7,"[('learning_rate', 1.0), ('n_estimators', 1000)]",0.28005896651,0.44495530894900004,0.8376802527320001,0.35569082924,0.45903557294,0.8338059774969999,16.066477060317993
1027_ESL,adaboost,8,"[('learning_rate', 1.0), ('n_estimators', 1000)]",0.25963291538000005,0.41397532359800004,0.8667834886799999,0.422002455179,0.48278611068099997,0.783292862508,17.921245098114017
1027_ESL,adaboost,9,"[('learning_rate', 1.0), ('n_estimators', 1000)]",0.274312090783,0.42725202777099996,0.852558155575,0.323576449709,0.44532908445200003,0.7754392642910001,17.525830745697018
1027_ESL,afp,0,"[('g', 100), ('max_len', 64), ('popsize', 1000), ('rt_cross', 0.8), ('rt_mut', 0.2)]",0.333990578435,0.436285921016,0.794861498736,0.293200105468,0.414054608359,0.815572259145,656.1996281147003
1027_ESL,afp,1,"[('g', 100), ('max_len', 64), ('popsize', 1000), ('rt_cross', 0.8), ('rt_mut', 0.2)]",0.265462314406,0.404759329977,0.854088311192,0.26838882914,0.388404616748,0.841384422911,758.6806855201721
1027_ESL,afp,2,"[('g', 100), ('max_len', 64), ('popsize', 1000), ('rt_cross', 0.8), ('rt_mut', 0.2)]",0.272023316343,0.40925743806,0.859617362013,0.215610108007,0.369356607109,0.866033225722,778.2158391475677
1027_ESL,afp,3,"[('g', 100), ('max_len', 64), ('popsize', 1000), ('rt_cross', 0.8), ('rt_mut', 0.2)]",0.267118787382,0.405334514479,0.860263441098,0.266456339941,0.390271447748,0.853239297832,739.6251482963562
1027_ESL,afp,4,"[('g', 100), ('max_len', 64), ('popsize', 1000), ('rt_cross', 0.8), ('rt_mut', 0.2)]",0.253027012688,0.391288544422,0.857102606217,0.307055100695,0.433757599223,0.801001076922,761.5913548469543
1027_ESL,afp,5,"[('g', 100), ('max_len', 64), ('popsize', 1000), ('rt_cross', 0.8), ('rt_mut', 0.2)]",0.268956090585,0.391155555173,0.840156674499,0.285035019305,0.410565820974,0.837730515514,767.8567657470703
1027_ESL,afp,6,"[('g', 100), ('max_len', 64), ('popsize', 1000), ('rt_cross', 0.2), ('rt_mut', 0.8)]",0.31241967032,0.42147194294,0.830123316057,0.291005388312,0.429887545549,0.778275101375,717.2979936599731
1027_ESL,afp,7,"[('g', 100), ('max_len', 64), ('popsize', 1000), ('rt_cross', 0.8), ('rt_mut', 0.2)]",0.256981925445,0.38209856547,0.847798438061,0.326293719206,0.458068230794,0.837663250847,792.7005724906921
1027_ESL,afp,8,"[('g', 100), ('max_len', 64), ('popsize', 1000), ('rt_cross', 0.5), ('rt_mut', 0.5)]",0.260120966603,0.394535611085,0.842120829106,0.328029515255,0.424762521495,0.826900344658,725.590535402298
1027_ESL,afp,9,"[('g', 100), ('max_len', 64), ('popsize', 1000), ('rt_cross', 0.8), ('rt_mut', 0.2)]",0.292070903722,0.408882514354,0.780836708655,0.3183404844,0.422027444671,0.791480774748,725.2677667140961
1027_ESL,eplex,0,"[('g', 1000), ('max_len', 64), ('popsize', 100), ('rt_cross', 0.2), ('rt_mut', 0.8)]",0.254536266811,0.393679797897,0.854795958141,0.334716306542,0.417611916575,0.780609884316,1021.7132496833801
1027_ESL,eplex,1,"[('g', 1000), ('max_len', 64), ('popsize', 100), ('rt_cross', 0.5), ('rt_mut', 0.5)]",0.241228703204,0.37715853994,0.865196021176,0.319823988712,0.439900863547,0.821160546345,1056.5626549720764
1027_ESL,eplex,2,"[('g', 1000), ('max_len', 64), ('popsize', 100), ('rt_cross', 0.8), ('rt_mut', 0.2)]",0.286420293981,0.39953283765,0.833326294539,0.244729105059,0.397561714533,0.8286816169,1063.2582232952118
1027_ESL,eplex,3,"[('g', 100), ('max_len', 64), ('popsize', 1000), ('rt_cross', 0.2), ('rt_mut', 0.8)]",0.29224765633,0.409486621643,0.825791949097,0.243220191021,0.384533305496,0.872193548356,1035.8170750141144
1027_ESL,eplex,4,"[('g', 1000), ('max_len', 64), ('popsize', 100), ('rt_cross', 0.5), ('rt_mut', 0.5)]",0.248967663171,0.389977303704,0.843770682099,0.347180692389,0.446932313279,0.812677009269,1050.0732328891754
1027_ESL,eplex,5,"[('g', 100), ('max_len', 64), ('popsize', 1000), ('rt_cross', 0.8), ('rt_mut', 0.2)]",0.263880765025,0.387638743461,0.852324273967,0.306029495716,0.444191244408,0.821671465262,1084.727600812912
1027_ESL,eplex,6,"[('g', 100), ('max_len', 64), ('popsize', 1000), ('rt_cross', 0.8), ('rt_mut', 0.2)]",0.273465277864,0.398569320009,0.829215327589,0.245225915203,0.388412295855,0.854576151313,1074.9866697788239
1027_ESL,eplex,7,"[('g', 1000), ('max_len', 64), ('popsize', 100), ('rt_cross', 0.2), ('rt_mut', 0.8)]",0.275129994232,0.403786741134,0.842304382352,0.329841730632,0.424379317966,0.836004413416,1039.0125551223755
