S,E,I,R,rzero,gamma,sigma,c,dI
2835412.22127466,343239.340785657,635126.324649022,7187062.1132907,3.63333333333333,0.072,0.134,0,30747.3006196112
10749049.8408806,5659.84675400453,10765.943823814,235364.368541546,1.51041666666667,0.083,0.204,0,490.120589114406
10996284.5507379,3.87960167183656,68.9005506668152,4482.66910970159,0.453333333333333,0.039,0.341,0,-3.07353679635338
10996570.016282,4.99894178078774,70.2860478322886,4194.69872840188,0.611111111111111,0.039,0.341,0,-2.93754587011649
9082035.23380894,451403.915875923,581303.112028284,886097.738286887,2.04,0.072,0.134,0,54505.1758531879
10981588.6304062,112.525147111413,2667.02753329438,16471.8169134539,0.5,0.016,0.197,0,-126.499870831501
10994395.1264171,98.4692997240769,2325.65507342506,4020.74920982475,0.5,0.016,0.197,0,-110.282513071812
10949055.636862,801.554094393534,12185.6834504828,38797.1255930241,1.26041666666667,0.025,0.478,0,-522.677930093586
10972527.1273823,935.938831497009,3029.95138680025,24346.982399431,1.34375,0.036,0.142,0,11.6971119859722
10862046.5224882,2393.10968966274,38286.5270212183,98113.8408008777,0.74,0.029,0.277,0,-1646.65262186867
10344017.3765344,35057.2237056794,81946.628016298,539818.771743626,1.10416666666667,0.083,0.204,0,2190.06532921965
10989909.361784,340.59392075723,2586.17717503267,8003.86712028251,1.75,0.016,0.197,0,-78.1103477466737
10991210.2110854,252.137079645231,2165.86132616491,7211.79050884986,1.53125,0.016,0.197,0,-71.8298319306539
10726548.7301283,15500.0674571583,41585.8266934382,217205.375721004,1.39583333333333,0.0555555555555556,0.192307692307692,0,670.691468449817
10966723.2882495,1581.79398157496,4331.79042262488,28203.1273462645,1.65625,0.036,0.142,0,63.6719472068696
10927257.3093541,2032.86752687751,12848.859977496,58700.9631415008,1.59375,0.044,0.423,0,-322.461631858813
10163395.2711346,23259.9363337349,69721.1605562543,744463.631975424,0.78125,0.083,0.204,0,599.905370390739
10996291.0660176,4.45203704466399,75.9270739250017,4468.55487143094,0.47,0.039,0.341,0,-3.36474806125
10876299.2160867,2061.94290907404,7941.9616549262,114536.879349294,0.927083333333333,0.0555555555555556,0.192307692307692,0,-44.3069058963068
10952125.7352209,801.584639953215,11484.9575674918,36427.7225715964,1.34375,0.025,0.478,0,-483.656038815891
10996292.4754392,4.58283415686765,77.3762308858532,4465.56549575586,0.473333333333333,0.039,0.341,0,-3.41425152566979
10933940.9861063,1746.43072321984,10568.1278810458,54584.4552893919,1.67708333333333,0.044,0.423,0,-251.032391322415
6348839.72458546,115495.905848663,289404.152595304,4247100.2169706,1.54,0.072,0.134,0,6126.16059839278
